367595301,Finisterre,46259,1920,2887
496958269,Uganda,63936,1993,2181
299219194,Galteemore,49389,1977,2778
514205978,Buchan Ness,43794,1946,3960
663799885,Zephyr,33314,1946,2428
842732262,Penston,26060,1985,2572
298898832,Punjaub,60787,1919,1615
661942259,Gayundah,38856,1915,3417
215290910,Arno,42612,1975,1727
517643884,Lightfoot,60110,1907,2344
860085129,Untamed,61028,1949,1699
659917993,Ariadne,45053,1909,3254
687690135,Liffey,43060,1917,2100
257923568,Invermoriston,39291,1929,2453
749147598,Watchman,18012,1912,2381
944825464,Kilchrenan,67974,1983,1853
344255449,Scimitar,55765,1960,4450
828440495,Argonaut,68361,1979,3397
865240144,Courtneay,25134,1975,3959
409419134,Minorca,21644,1924,2446
598574135,Anna,66005,1990,3120
105047642,The Quesnel,26677,1945,4302
502703452,Quorn,68030,1916,4484
555650253,The Tynedale,34712,1934,3123
852752095,De Ruyter,53864,1901,2608
928587846,Alfred,33069,1923,1686
794094682,Royalist,23561,1928,4000
513991885,Elephant,48956,1986,1571
368721886,London,36090,1917,1646
532267609,TheUnsparing,59120,1903,2564
428644987,Munster,31373,1918,4461
133355999,Jetty,55309,1996,1564
725250455,Gamston,59049,1931,3758
765329090,Amfitrite,44196,1932,3116
834204675,Filey,34836,1926,4464
379601037,Maxton,47680,1960,3973
859636596,Aitape,63707,1915,3721
642480279,The Blazer,18995,1942,1840
598327069,Cromer,50687,1983,2459
944302201,Serpent,56422,1967,3028
